2024-12-16 12:53:55,827 - Training started for model: resnet18
2024-12-16 12:54:08,578 - Epoch 1/100, Train Loss: 6.2473, Train Acc: 0.0546, Train F1: 0.0105 Test Loss: 4.6527, Test Acc: 0.1667, Test F1: 0.1125
2024-12-16 12:54:18,911 - Epoch 2/100, Train Loss: 1.7383, Train Acc: 0.6511, Train F1: 0.6328 Test Loss: 3.4175, Test Acc: 0.2500, Test F1: 0.2543
2024-12-16 12:54:26,878 - Epoch 3/100, Train Loss: 0.4939, Train Acc: 0.9348, Train F1: 0.9466 Test Loss: 3.3502, Test Acc: 0.2321, Test F1: 0.2256
2024-12-16 12:54:34,908 - Epoch 4/100, Train Loss: 0.2024, Train Acc: 0.9709, Train F1: 0.9839 Test Loss: 3.3592, Test Acc: 0.2976, Test F1: 0.2681
2024-12-16 12:54:44,227 - Epoch 5/100, Train Loss: 0.1326, Train Acc: 0.9736, Train F1: 0.9867 Test Loss: 3.3487, Test Acc: 0.2976, Test F1: 0.2788
2024-12-16 12:54:53,666 - Epoch 6/100, Train Loss: 0.1014, Train Acc: 0.9736, Train F1: 0.9865 Test Loss: 3.4290, Test Acc: 0.3036, Test F1: 0.2733
2024-12-16 12:55:01,544 - Epoch 7/100, Train Loss: 0.0821, Train Acc: 0.9744, Train F1: 0.9874 Test Loss: 3.4382, Test Acc: 0.2917, Test F1: 0.2875
2024-12-16 12:55:09,581 - Epoch 8/100, Train Loss: 0.0673, Train Acc: 0.9762, Train F1: 0.9891 Test Loss: 3.3482, Test Acc: 0.2798, Test F1: 0.2646
2024-12-16 12:55:17,455 - Epoch 9/100, Train Loss: 0.0608, Train Acc: 0.9762, Train F1: 0.9894 Test Loss: 3.2672, Test Acc: 0.3333, Test F1: 0.3149
2024-12-16 12:55:25,433 - Epoch 10/100, Train Loss: 0.0501, Train Acc: 0.9771, Train F1: 0.9901 Test Loss: 3.3947, Test Acc: 0.3274, Test F1: 0.3185
2024-12-16 12:55:34,707 - Epoch 11/100, Train Loss: 0.0554, Train Acc: 0.9771, Train F1: 0.9901 Test Loss: 3.3640, Test Acc: 0.2976, Test F1: 0.2825
2024-12-16 12:55:43,754 - Epoch 12/100, Train Loss: 0.0358, Train Acc: 0.9806, Train F1: 0.9937 Test Loss: 3.3717, Test Acc: 0.2857, Test F1: 0.2701
2024-12-16 12:55:51,616 - Epoch 13/100, Train Loss: 0.0373, Train Acc: 0.9780, Train F1: 0.9911 Test Loss: 3.3767, Test Acc: 0.3155, Test F1: 0.3087
2024-12-16 12:56:00,182 - Epoch 14/100, Train Loss: 0.0380, Train Acc: 0.9780, Train F1: 0.9909 Test Loss: 3.3849, Test Acc: 0.3095, Test F1: 0.2995
2024-12-16 12:56:08,844 - Epoch 15/100, Train Loss: 0.0359, Train Acc: 0.9789, Train F1: 0.9919 Test Loss: 3.3153, Test Acc: 0.3274, Test F1: 0.3004
